Ticker;Nome;Preço (R$);Qualificado?
LJQQ3;Lojas Quero-Quero;2.19;0
NEOE3;Neoenergia;31.95;0
SAPR11;Sanepar;41.03;0
HBOR3;Helbor;2.42;0
TTEN3;3tentos;16.16;1
JALL3;Jalles Machado;2.71;0
VULC3;Vulcabras;19.69;0
TUPY3;Tupy;11.70;0
SYNE3;SYN;4.68;0
LAVV3;Lavvi Incorporadora;16.45;0
LIGT3;Light;4.70;0
CSED3;Cruzeiro do Sul Educacional;6.29;0
ORVR3;Orizon;70.50;0
JSLG3;JSL;6.09;0
INTB3;Intelbras;11.72;0
KLBN3;Klabin;3.69;0
MILS3;Mills;14.35;0
SAPR4;Sanepar;7.94;0
FESA4;Ferbasa;6.79;0
FIQE3;Unifique;4.93;0
PNVL3;Dimed;12.13;0
MELK3;Melnick;3.70;0
CAML3;Camil Alimentos;5.49;0
MLAS3;Multilaser;1.38;0
EVEN3;Even;7.49;0
USIM3;Usiminas;6.47;0
OPCT3;OceanPact;8.62;0
PINE4;Banco Pine;12.85;0
RCSL3;Recrusul;2.59;0
TFCO4;Track & Field;16.13;0
HBRE3;HBR Realty;3.66;0
WIZC3;Wiz Soluções;9.24;0
VTRU3;VITRUBREPCOM;15.35;0
ALUP11;Alupar;31.58;0
ENJU3;Enjoei;1.02;0
GFSA3;Gafisa;4.90;0
LOGG3;LOG CP;26.04;0
SHUL4;Schulz;5.14;0
RANI3;Irani;8.73;0
FRAS3;Fras-le;23.74;0
LEVE3;Mahle Metal Leve;33.58;0
BRST3;Brisanet;3.42;0
PRNR3;Priner;15.80;0
LPSB3;Lopes;1.69;0
IFCM3;Infracommerce;1.08;1
UNIP6;Unipar;60.04;0
BRBI11;BR Partners;19.74;0
MDIA3;M. Dias Branco;24.16;0
PDGR3;PDG Realty;1.37;0
MTRE3;Mitre Realty;3.70;0
ITSA3;Itaúsa;12.12;0
PFRM3;Profarma;8.24;0
VLID3;Valid;20.66;0
ROMI3;Indústrias ROMI;8.18;0
RNEW4;Renova Energia;0.92;0
SEQL3;Sequoia Logística;2.15;0
TRIS3;Trisul;6.10;0
TOKY3;Toky;0.76;0
SAPR3;Sanepar;9.01;0
TAEE4;Taesa;13.97;0
OBTC3;CURSINHO INTERGRAUS S.A;9.23;0
TGMA3;Tegma;36.10;0
TCSA3;Tecnisa;1.28;0
DEXP3;Dexxos;7.94;0
VIVR3;Viver;0.61;0
CSUD3;CSU Cardsystem;17.77;0
LUPA3;Lupatech;0.87;0
PTBL3;Portobello;3.25;0
EALT4;Electro Aço Altona;14.00;0
FHER3;Fertilizantes Heringer;3.81;0
MEAL3;IMC Alimentação;1.27;0
SANB4;Banco Santander;16.85;0
CMIG3;Cemig;14.30;0
MATD3;Mater Dei;5.38;0
ETER3;Eternit;4.06;0
SCAR3;São Carlos;13.70;0
VITT3;Vittia;4.70;0
INEP3;Inepar;1.45;0
