Ticker;Nome;Setor;Preço (R$);Último Dividendo;Taxa de Administração
TMPS11;Itau Tempus Fundo Investimento Imobiliario -Unica;Fundo de Fundos;88.24;0.88;0.6
TJKB11;TJK Renda Imobiliaria FII RL;Indefinido;254.00;2.90;0.4
TGAR11;FII TG Ativo Real;Fundo de Desenvolvimento;88.67;1.00;0.3
TEPP11;Tellus Properties FI Imobiliario RL;Lajes Corporativas;8.69;0.08;0.9
TELM11;Tellus Multiestrategia FII FII RL;Indefinido;10.00;0.22;0
TCPF11;Treecorp Real Estate FII-I - Un;Misto;39.53;1.31;0.2
SURE11;SURE11;Indefinido;-;0.60;0.6
STRX11;Starx FI Imobiliario;Fundo de Desenvolvimento;140.16;0.97;0.9
SRVD11;SRVD11;Indefinido;3.00;0.20;0.2
SPXS11;FI Imobiliario Spx Syn Multiestrategia;Indefinido;9.10;0.11;0.8
SPVJ11;SPVJ11;Shoppings;-;0.18;0.3
SPTW11;SP Downtown Fundo Investimento Imobiliario - FII;Lajes Corporativas;38.29;0.60;0.6
SPMO11;Supremo FII - Un;Indefinido;122.00;0.43;0.2
SPDE11;FII WHG F SPCI ER;Indefinido;1.266.67;10.41;0.1
SOLR11;Solarium FII - Fundo de Investimento Imob - Un;Imóveis Comerciais - Outros;1.051.35;4.77;0
SOFF11;Fundo de Investimento Imobiliario Sofia;Misto;112.00;1.00;0.8
SNME11;Suno Multiestrategia FI Imobiliario;Indefinido;9.65;0.15;0.9
SNLG11;Suno Log Fundo de Investimento Imobiliario;Imóveis Industriais e Logísticos;1.52;0.84;0.1
SNID11;Suno Infra Deb FICFII em Infra Renda Fixa CP;Indefinido;11.30;0.13;0
SNFZ11;Suno Fazendas FIAGRO Imobiliario Unica;Misto;9.83;0.10;0.7
SNFF11;Suno Fundo de Fundos de Investimento Imobiliario;Fundo de Fundos;82.40;1.10;0.6
SNEL11;Suno Energias Limpas FI Imobiliario Closed Fund;Fundo de Desenvolvimento;8.77;0.10;0.4
SNCI11;Suno Recebiveis Imobiliarios FI Imobiliario;Papéis;84.71;1.00;0.7
SNAG11;Suno Agro Fiagro Im Unica;Papéis;11.14;0.13;0.4
SMRE11;FII Smart R Est - FII RL;Incorporações;63.89;1.02;0.7
SJAU11;Sj Au LogIstica Fundo de Investimento Imobiliario Closed Fund;Imóveis Industriais e Logísticos;0.60;20.13;0.8
SIGR11;SIGR11;Indefinido;99.90;1.30;0.2
SHSO11;SHSO11;Indefinido;-;0.42;0.7
SHPP11;Shop Pat P FII RL;Shoppings;10.50;0.05;0.2
SHPH11;FII Shopping Patio Higienopolis;Shoppings;932.00;3.50;0
SHOP11;Multi Shoppings Fundo Investimento Imobiliario;Shoppings;55.00;6.75;0.7
SEQR11;Sequoia III Renda Imobiliaria FII;Misto;53.67;0.58;0.2
