Ticker;Nome;Setor;Preço (R$);Último Dividendo;Taxa de Administração
IFRA11;Itau FICF Inc Inv Infra RF CP;Indefinido;99.30;0.85;0.3
IDUA11;FII de Unidades Autonomas IV;Imóveis Comerciais - Outros;64.42;1.72;0.7
IDGR11;IDGR11;Misto;1.50;0.09;0.1
IDFI11;IDFI11;Indefinido;2.00;1.56;0.7
ICRI11;Itau Credito Imobiliario IPCA FII - Unica;Misto;90.53;0.95;0.3
ICNE11;Icone FII RL;Imóveis Residenciais;769.63;0.92;0.6
IBFF11;IBFF11;Fundo de Fundos;66.40;14.79;0.6
IBCR11;FI Imobiliario de Cri Integral Brei;Papéis;48.65;0.70;0.2
IBBP11;Invista Brazilian Business Park FII Ordin;Imóveis Industriais e Logísticos;9.00;0.08;0.7
IAGR11;SFI Invest do Agronegocio - Fiagro-imob UNICA;Indefinido;4.29;0.01;0.6
IAAG11;Inter Amerra - Fiagro - Imobiliario;Indefinido;8.59;0.13;0.5
HYPI11;FI Hire Properties Closed Fund;Outros;180.54;0.38;0.7
HUSI11;Husi Fundo de Investimento Imobiliario Unica;Hospitalar;1.220.00;8.42;0.5
HUSC11;FII Hospital Unimed Sul Capixaba;Hospitalar;95.52;1.05;0.2
HUCG11;FII Hospital Unimed Campina Grande - Un;Hospitalar;99.50;0.74;0
HTMX11;FI Imobiliario - FII Hotel Maxinvest;Hotéis;141.85;1.25;0.3
HSRE11;HSI Renda Imobiliaria FII;Misto;106.00;0.95;0.9
HSML11;HSI Malls Fundo de Investimento Imobiliario;Shoppings;91.08;0.70;0.8
HSLG11;HSI Log I FI Imobiliario;Imóveis Industriais e Logísticos;91.44;0.72;0.8
HSAF11;HSI Ativos Financeiros FII;Papéis;80.42;0.95;1
HRES11;FII Hire Residencial I FII;Imóveis Residenciais;141.53;1.76;0.1
HREC11;Hedge Recebiveis Imobiliarios FII - Un;Papéis;8.05;0.08;0.8
HRDF11;Hedge Realty Development FII - Un;Fundo de Desenvolvimento;3.41;6.80;0.8
HPDP11;Hedge Shopping Parque Dom Pedro FII - Un;Shoppings;89.35;0.56;0.1
HOSI11;Fundo de Investimento imobiliario Housi;Imóveis Residenciais;85.42;0.24;0
HOFC11;Hedge Office Income FI Imobiliario - Un;Lajes Corporativas;29.62;0.21;0.4
HLOG11;Hedge Logistica FII - Un;Imóveis Industriais e Logísticos;9.22;0.14;0.7
HILG11;Hire Log I Fundo de Investimento Imobiliario Closed Fund;Indefinido;184.96;1.46;0.4
HGRU11;Patria Renda Urbana FII RL Unica;Misto;126.05;1.45;0.9
HGRE11;Patria Escritorios FII RL Unica;Lajes Corporativas;124.20;1.50;0.7
HGPO11;Patria Prime Offices - FI Imob - Resp Lim - Unica;Lajes Corporativas;145.86;57.05;0.9
HGLG11;Patria Log FII RL;Imóveis Industriais e Logísticos;156.99;1.10;0.3
HGIC11;HGI Creditos Imobiliarios FII;Papéis;65.99;0.80;0.8
HGCR11;Patria Recebiveis Imobiliarios FII RL;Papéis;97.79;1.00;0.7
HGBS11;Hedge Brasil Shopping FI Imobiliario - Un;Shoppings;19.97;0.15;0.5
HGBL11;Hedge Brasil Logistico Industrial FII RL;Misto;9.32;0.08;0.7
HGAG11;High Fundo de Investimento Agro FIAGRO Imobiliario;Indefinido;17.00;0.14;1
HFOF11;Hedge Top FOF II 3 FI Imobiliario - Un;Fundo de Fundos;6.45;0.06;0.6
HDEL11;Hedge Desenvolvimento Logistico FII Closed Fund;Imóveis Industriais e Logísticos;100.02;15.30;0.8
HCTR11;Hectare CE - FI Imobiliario;Papéis;21.77;0.29;0.7
HCRI11;FII Hospital Da Crianca;Hospitalar;296.34;2.73;0.6
HCRA11;HCRA11;Indefinido;10.22;14.85;0
HCHG11;Hectare Recebiveis High Grade FII;Papéis;80.95;0.70;0.1
HBRH11;HBRH11;Lajes Corporativas;90.80;0.50;0.3
HBCR11;FI Imobiliario Hbc Renda Urbana - Cl Un;Indefinido;144.00;0.54;0.3
HABT11;Habitat Recebiveis Pulverizados FII;Papéis;74.61;0.95;0.9
HAAA11;Hedge AAA Fundo de Investimento Imobiliario - Un;Lajes Corporativas;53.14;1.30;0.7
GZIT11;Gazit Malls FI Imobiliario;Indefinido;47.86;0.78;0
GURB11;GURB11;Indefinido;108.00;0.70;0.2
GTWR11;Fundo Investimento Imobiliario Green Towers;Lajes Corporativas;82.01;0.90;1
GTLG11;GTLG11;Imóveis Industriais e Logísticos;63.99;60.62;0.8
GSFI11;General Shopping e Outlets do Brasil FII Unica;Shoppings;11.00;0.00;0.1
GRWA11;Greenwich Agro FI Cad Prod Agro FIAGRO Imobiliario;Indefinido;8.24;0.09;0.1
GRUL11;Icatu Van Gru L FII RL;Logística;8.83;0.08;0
GLPF11;Galapagos Feeder Logistico FII RL;Logística;106.41;0.81;0.1
GLOG11;Genial Logistica FII - Cl Un;Imóveis Industriais e Logísticos;66.00;0.41;0.3
GLCR11;Galapagos Credito Estr Prazo Determinado FII RL;Papéis;100.95;0.90;0.9
GGRC11;GGR Covepi Renda FII - RL;Imóveis Industriais e Logísticos;9.85;0.10;0.4
GFDL11;Galapagos Feeder Desenvolvimento Logistico FII RL;Logística;109.81;0.16;0.6
GESE11B;GESE11B;Educacional;1.520.00;1.112.72;0.5
GCRI11;Galapagos Recebiveis Imobiliarios FI Imobiliario;Papéis;65.15;0.80;0
GCRA11;Galapagos Recebiveis do Agr Fiagro Im Unica;Indefinido;55.15;0.68;0.4
GCOI11;Galapagos Special Oportunities FII;Indefinido;72.86;32.50;0.7
GARE11;Guardian Real Estate FII de RL Unica;Imóveis Industriais e Logísticos;9.01;0.08;0.3
GAME11;FII Guardian Multiestrategia Imobiliaria I;Indefinido;9.34;0.10;0
FZDB11;051 Agro Faze III FI Nas Cad Prod Agro Fiagro Imob;Indefinido;144.20;4.21;0.1
FZDA11;Tane Fzda FI Cadeias Produtivas Agroindustriais;Indefinido;131.00;4.11;0.2
FYTO11;FII FIII Fyto RI RL;Papéis;8.75;0.11;0.1
FVPQ11;FI Imobiliario Via Parque Shopping-FII;Shoppings;72.01;0.50;0.4
FTCA11;Fyto Rec Agro FI RL;Indefinido;9.34;0.14;0.5
FRHY11;FRHY11;Indefinido;-;1.03;0.6
FPOR11;Porto Sudeste Royalties FIP em Infraestrutura;FIP-IE;23.50;0.15;0.5
FPAB11;FI Imobiliario Projeto Agua Branca - Un;Lajes Corporativas;210.94;1.60;0.8
FMOF11;FII Memorial Office RL - Unica;Lajes Corporativas;39.15;1.40;0.6
FLRP11;Hedge Floripa Shopping FII - Unica;Shoppings;22.20;0.15;0.7
FLMA11;FI Imobiliario Continental Square Faria Lima;Lajes Corporativas;157.24;1.17;0.4
FLFL11;FLFL11;Fundo de Desenvolvimento;-;0.18;0.4
FLCR11;Faria Lima Capital Recebiveis Imobiliarios I - FII;Papéis;95.90;1.00;0.4
FISC11;FI Imobiliario SC 401;Lajes Corporativas;55.15;0.31;0.9
FIIP11B;FIIP11B;Imóveis Industriais e Logísticos;161.37;1.40;0.4
FIIP11;RB Capital Renda I Fundo de Investimento Imobiliario Closed Fund;Imóveis Industriais e Logísticos;150.11;1.40;0.4
FIIB11;FII Industrial do Brasil - Un;Imóveis Industriais e Logísticos;477.74;3.58;0.5
FIGS11;General Shopping Ativo e Renda FII - Un;Shoppings;46.24;0.48;0.7
FGAA11;FG/Agro FI Cad Prod Agroindustr Fiagro Imobiliario;Indefinido;9.22;0.12;0.6
FCFL11;FI Imobiliario Campus Faria Lima;Educacional;125.13;0.92;0.1
FATN11;BRC Renda Corporativa FII - Un;Lajes Corporativas;85.76;0.80;0.6
FAOE11;FAOE11;Indefinido;926.90;11.16;0.8
FAMB11B;FAMB11B;Lajes Corporativas;609.99;1.001.61;0.3
FAED11;FI Imobiliario Anhanguera Educacional;Educacional;155.43;1.66;0
EXES11;Exes Fundo de Investimento Imobiliario;Indefinido;9.46;0.13;0.8
EURO11;Fundo de Investimento Imobiliario Europar - FII;Imóveis Industriais e Logísticos;320.00;2.08;0.3
ESUU11;FIP Infra-Estr BB Votorantim Energ Sustentavel I A;Indefinido;32.00;63.84;0.1
ESUT11;FIP Infra-Estr BB Votorantim Ene Sustentavel III A;Indefinido;32.00;67.49;0.5
ESUD11;FIP Infra-Estr BB Votorantim Ener Sustentavel II A;Indefinido;243.00;72.93;0.9
ERPA11;Europa 105 - Fundo de Investimento Imobiliario;Lajes Corporativas;130.99;0.93;0.2
ERCR11;Estoque Residencial Com Rio de Janeiro FII Sen;Varejo;15.707.85;545.56;0.1
EQIR11;EQI Recebiveis Imobiliarios FI Imobiliario;Indefinido;8.29;0.10;0.9
EQIA11;EQIA11;Fiagro;-;0.45;0.6
ENDD11;Endurance Debt FIP em Infraestrutura;Indefinido;107.95;5.42;0.9
EMET11;Emet Multiestrategia FI Imobiliario RL;Misto;10.00;0.34;0.3
EIRA11;Aroeira FII RL Unica;Outros;104.40;1.28;0.6
EGAF11;Ecoagro I FI Cadeias Prod Agroindust Fiagro Imobil;Indefinido;94.60;1.49;0.8
EDGE11;Edge FII Responsabilidade Limitada Unica;Papéis;1.071.80;79.24;0.7
EDGA11;FI Imobiliario - FII Edificio Galeria;Lajes Corporativas;13.98;0.02;0.7
EDFO11B;EDFO11B;Lajes Corporativas;229.98;0.49;0.5
DVFF11;Fundo de Investimento Imobiliario Devant FOF Imobiliarios;Fundo de Fundos;5.98;0.07;0.9
DRIT11B;DRIT11B;Lajes Corporativas;83.30;0.53;0.2
DPRO11;Devant Properties FI Imobiliario;Indefinido;6.33;0.06;0.6
DLMT11;DLMT11;Varejo;-;0.00;0.9
DEVA11;Devant Recebiveis Imobiliarios FII;Papéis;26.76;0.44;0.7
DCRA11;Devant FI Cad Prod Agroindustriais - Fiagro - Imob;Indefinido;7.38;0.09;0.9
DAYM11;Daycoval Real Estate Multiestrategia FII RL;Lajes Corporativas;3.86;0.04;0
DAMT11B;DAMT11B;Shoppings;11.45;0.40;0.1
DAMA11;Dama FI Imobiliario RL - Unica;Misto;7.34;0.08;0.8
CYCR11;Cyrela Credito - FII - Classe Unica;Indefinido;8.76;0.11;0.5
CXTL11;FI Imobiliario Caixa Seq Logistica Renda;Imóveis Industriais e Logísticos;332.73;0.18;0.2
CXRI11;Caixa Rio Bravo FF de Invest Imobiliario - FII;Fundo de Fundos;64.89;0.60;0.8
CXCO11;FII Caixa Imoveis Corporativos - Unica;Lajes Corporativas;68.99;0.91;0.1
CXCI11;FII Caixa Carteira Imobiliaria - Unica;Indefinido;72.65;0.80;0.1
CXCE11B;CXCE11B;Lajes Corporativas;44.01;0.43;0.3
CXCE11;Fundo de Investimento Imobiliario Caixa Cedae Closed Fund;Lajes Corporativas;40.75;0.48;1
CXAG11;FI Imobilario Caixa Agencias;Agências de Bancos;75.05;0.86;0.7
CVPR11;CVPR11;Indefinido;-;0.91;0.9
CTXT11;FI Imobiliario Centro Textil Internacional;Lajes Corporativas;6.50;0.01;0.6
CSMC11;CSMC11;Indefinido;-;9.21;0.6
CRFF11;Caixa Rio Bravo FF de Investimento Imobiliario II;Fundo de Fundos;73.28;0.63;0.7
CRAA11;Sparta Fiagro FI Nas Cad Prod Agro - Imobiliario;Indefinido;96.47;1.20;0.1
CPUR11;Cap HBC RU FII RL;Misto;10.80;0.10;0.7
CPTS11;Capitania Securities II FII - Classe A;Papéis;7.85;0.09;0.8
CPTR11;Capitania Agro Strategies Fiagro Imobiliario Closed Fund;Indefinido;8.29;0.11;0.8
CPTI11;Capitania Infra Fic Fii Infra Rfcp;Indefinido;85.20;1.00;0.8
CPSH11;Capitania Shoppings FI Imobiliario;Indefinido;10.97;0.15;0.9
CPOF11;Capitania Office FI Imobiliario Closed Fund;Misto;110.00;0.30;0.6
CPLG11;Capitania Logistica FI Imobiliario;Misto;13.15;0.20;0
CPFO11;CPFO11;Fundo de Fundos;-;31.42;0.9
CORM11;CORM11;Lajes Corporativas;-;0.77;0.7
COPP11;COPP11;Lajes Corporativas;103.00;0.75;0.5
CNES11;FI Imobiliario - FII CENESP;Lajes Corporativas;1.85;0.01;0.2
CLIN11;Clave Indices de Precos FI Imobiliario;Fundo de Fundos;89.60;0.96;0.8
CJCT11;Cidade Jardim Continental Tower FII - Unica;Lajes Corporativas;64.00;0.42;0.6
CIXM11;CIXM11;Misto;9.04;0.15;0.1
CFII11;CF3 Fundo de Investimento Imobiliario Closed Fund;Indefinido;523.00;40.00;0.1
CFHI11;FII CF2 CI;Fundo de Desenvolvimento;20.10;26.47;0.6
CEOC11;FI Imobiliario - Ceo Cyrela Commercial Properties;Lajes Corporativas;45.76;0.49;0.4
CDII11;Sparta Infra CDI FIFCFII Infra RF;Indefinido;107.50;1.52;1
CCVA11;Canuma Capital Renda Varejo FI Imobiliario RL;Indefinido;98.97;0.50;0.6
CCRF11;CCRF11;Papéis;92.50;3.50;0.6
CCME11;Canuma Capital Multiestrategia FII;Indefinido;9.17;0.08;0.4
CBOP11;Castello Branco Office Park FI Imob FII - Un;Lajes Corporativas;37.00;0.50;0.8
CARE11;Brazilian Graveyard and Death Care Services FII;Misto;1.07;0.01;0.2
CAFE11;CAFE11;Misto;-;1.01;0.5
CACR11;Cartesia Recebiveis Imobiliarios FII;Papéis;77.76;1.35;0.2
BZEL11;BZEL11;Misto;-;5.09;0.5
BTYU11;BTG Pactual You Inc. Des Imob - FI Imobiliario RL;Incorporações;9.42;0.11;0.2
BTWR11;Btowers Fundo de Investimento Imobiliario;Fundo de Desenvolvimento;105.49;0.95;0.2
BTSI11;BTSP II Fundo de Investimento Imobiliario Closed Fund;Misto;109.59;0.81;0.9
BTSG11;BTSP I Fundo de Investimento Imobiliario;Imóveis Industriais e Logísticos;145.92;1.00;0.9
BTRA11;FI Imobiliario BTG Pactual Terras Agricolas;Fazendas;65.49;0.40;0.2
BTML11;Barra Malls Fundo de Investimento Imobiliario Cef;Lajes Corporativas;101.37;2.20;0.6
BTLG11;BTG Pactual Logistica FI Imobiliario;Imóveis Industriais e Logísticos;102.91;0.79;0
BTHI11;BTG Pactual Hoteis FI Imobiliario - FII;Hotéis;44.95;0.31;0.4
BTHF11;Btg Pactual Real Estate Hedge Fund Fii Cf;Papéis;8.90;0.09;0.5
BTCR11;BTCR11;Papéis;88.00;0.90;0.8
BTCI11;FI Imobiliario-FII BTG Pactual Fundo de CRI;Papéis;9.34;0.10;0.4
BTAL11;FI Imobiliario BTG Pactual Agro Logistica;Imóveis Industriais e Logísticos;85.46;0.95;0.1
BTAG11;BTG CAF DC RL;Indefinido;115.00;1.35;0
BRZP11;Brz Infra Portos Fundo de Investimento Participacao Infra Closed Fund;-;170.09;0.92;0
BROF11;BRPR Corp Of FII RL;Lajes Corporativas;56.49;0.53;0.2
BRLA11;BRLA11;Imóveis Industriais e Logísticos;148.00;1.15;0.5
BRIX11;BRIX11;Indefinido;1.673.35;180.14;0.6
BRIP11;Brio Real Estate III FII;Fundo de Desenvolvimento;501.94;27.85;0.1
BRIM11;Brio Real Estate II FI Imobiliario;Fundo de Desenvolvimento;267.67;92.64;0.3
BRFT11;Bradesco Farm FIDC CPA FDC RL;Misto;85.80;1.21;0.6
BREV11;BREV11;Lajes Corporativas;105.00;0.58;0.7
BRCR11;FII BTG Pactual Corporate Office Fund;Lajes Corporativas;48.00;0.41;0
BRCO11;Bresco - Logistica FII;Imóveis Industriais e Logísticos;117.87;0.87;0.7
BPRP11;BPRP11;Imóveis Industriais e Logísticos;107.50;0.93;0.5
BPML11;FI Imobiliario BTG Pactual Shoppings Closed Fund;Shoppings;85.96;0.92;0
BPLC11;BPLC11;Misto;-;14.42;0.4
BPFF11;FII ABSOLUTOCI ER;Fundo de Fundos;54.53;2.24;0.3
BODB11;Bocaina Infra FICF Inc de Inv Infra Renda Fixa CP;Indefinido;7.71;0.10;0.6
BNFS11;Banrisul Novas Fronteiras FII;Agências de Bancos;72.67;0.75;0.2
BMLC11;FII BM Brascan Lajes Corporativas FII;Lajes Corporativas;100.00;0.72;0.7
BLUR11;BLUR11;Papéis;76.03;74.29;0.1
BLOG11;Bluecap Log Fundo de Investimento Imobiliario;Misto;8.62;0.02;0.5
BLMR11;BLMR11;Fundo de Fundos;6.78;0.37;1
BLMO11;VBI Office Fund II - Fundo de Investimento Imobiliario;Lajes Corporativas;90.00;0.53;0.6
BLMG11;Bluemacaw Logistica FII;Imóveis Industriais e Logísticos;34.65;0.40;0.9
BLMC11;BLMC11;Papéis;85.75;5.34;0.3
BLCA11;Bluemacaw Catua Triple A FI Imobiliario;Indefinido;92.60;0.50;0.9
BIPD11;Brio Real Estate IV - FI Imobiliario;Indefinido;989.33;10.77;0.1
BINR11;Be In Rio Fund Invest Imob Cef;Indefinido;1.673.35;180.14;0.3
BINC11;Bradesco FICFIF Renda Fixa Inv Infra CDI CP;Papéis;103.40;1.60;0.9
BIME11;Brio Multiestrategi Fundo Investimento Imobiliario;Indefinido;6.19;0.08;0
BIDB11;Inter Infra FICF Inc de Invest em Infraestr RF CP;Indefinido;79.60;1.00;0.9
BICR11;BICR11;Papéis;35.92;0.36;0.3
BICE11;Brio Credito Estruturado - FII - Unica;Fundo de Fundos;888.28;3.25;0.6
BGRB11;BGR B32 FUNDO DE INVESTIMENTO IMOBILIARIO;Lajes Corporativas;101.20;0.81;0.7
BETW11;BETW11;Indefinido;-;0.46;0.2
BDIV11;BTG Pactual Infra Dividendos FIP em Infraestrutura;Indefinido;41.65;1.60;0.7
BDIF11;Btg Pactual Divida Infra Fundo de Invest em Cotas de Fundos Incent de Inv em Infra RF Credito Privado Cf;Indefinido;73.10;0.60;0.4
BCRI11;Banestes Recebiveis Imobiliarios FII;Papéis;68.72;0.91;0.8
BCIA11;Bradesco Carteira Imobiliaria Ativa - Fundo de FII;Fundo de Fundos;87.80;0.86;0.6
BBRC11;BB Renda Corporativa FI Imobiliario FII;Agências de Bancos;100.50;2.10;0.9
BBIM11;BBIM11;Papéis;-;0.10;0.4
BBIG11;BB Premium Malls FII RL Unica;Serviços Financeiros Diversos;7.21;0.09;0.2
BBGO11;BB FI Credito Fiagro Imobiliario Closed Fund;Indefinido;69.63;0.96;0.2
BBFO11;BB Fundo de Fundos FI Imobiliario;Fundo de Fundos;64.92;0.71;0.2
BBFI11B;BBFI11B;Lajes Corporativas;1.257.10;634.23;0
AZPL11;Az Quest PLFI Imob RL;Serviços Financeiros Diversos;7.67;0.08;0.5
AZPE11;AZ Quest Panorama Credit Estr Fii Cf;Papéis;-;0.11;0.1
AZIN11;AZ Quest Infra-Yield II FIP Infraestrutura;FIP-IE;101.73;1.40;0.7
AURB11;Alianza Urban Hub Renda FII;Imóveis Comerciais - Outros;80.60;0.40;0.8
ATSA11;Hedge Atrium Shopping Santo Andre FII - Unica;Shoppings;57.65;0.77;0.6
ASRF11;Daycoval Retro I FII RL;Indefinido;10.974.00;256.33;0.9
ASMT11;ASMT11;Lajes Corporativas;4.10;0.08;0.9
ARXD11;Hedge Real Estate VI FII;Papéis;7.69;0.09;0.8
ARTE11;ARTE11;Misto;-;0.09;0.7
ARRI11;FI Imobiliario Atrio REIT Recebiveis Imobiliarios;Papéis;6.60;0.09;0.3
AROA11;Aroeira 333 Renda Logistica FI Imobiliario Closed Fund;Imóveis Industriais e Logísticos;1.08;0.01;0.8
ARCT11;ARCT11;Imóveis Industriais e Logísticos;87.13;0.50;0.9
APXM11;FI Imobiliario Apex Malls - FII;Shoppings;84.00;0.34;0.6
APTO11;Navi Residencial Fundo de Investimento Imobiliario;Imóveis Residenciais;8.54;0.09;0.4
ALZR11;Alianza Trust Renda Imobiliaria FII;Misto;10.79;0.08;0.3
ALZC11;Alianza Cred Imob FII RL;Papéis;7.79;0.10;0
ALMI11;FI Imobiliario - FII Torre Almirante;Lajes Corporativas;660.00;4.80;0.1
AJFI11;AJ Malls Fundo de Investimento Imobiliario;Shoppings;8.08;0.05;1
AIEC11;Autonomy Edificios Corporativos FII;Lajes Corporativas;53.50;0.34;0
AGRX11;FIAGRO Exes Araguaia - Fiagro - Imob - Cl Un;Indefinido;8.78;0.12;0.7
AFHI11;AF Invest Cri FII Recebiveis Imobiliarios;Papéis;95.84;1.01;0.8
ABCP11;FI Imobiliario Grand Plaza Shopping;Shoppings;82.01;0.65;0.5
AAZQ11;AZ Quest Sole FI Nas Cadeias Prod do Agro Fiagro I;Indefinido;8.22;0.13;1
AAGR11;Asset Bank Agro FICPADC RL Mez Jr;Indefinido;116.60;1.46;0.6
